Like,ml2,Like1
AstraZeneca sells rights for Seroquel to Luye Pharma for $538 million,08 May 2018," LONDON (Reuters) - British pharma company AstraZeneca (L:AZN) said it had sold the rights for Seroquel, a treatment for schizophrenia and bipolar disease, to  Luye Pharma  Group..."
"FTSE 100 rises, led by Just Eat, BP, while sterling sinks",01 May 2018," By Julien Ponthus and Helen Reid LONDON (Reuters) - British shares rose on Tuesday as data showed manufacturing growth slowed to a 17-month low, sending the pound lower and..."
Shire's mega deal fails to lift FTSE amid global gloom,25 Apr 2018, By Julien Ponthus LONDON (Reuters) - The prospect of a £64 billion bid for British drug maker Shire failed to lift the UK stock market on Wednesday as worries about rising U.S....
AstraZeneca to raise stake in Circassia to up to 19.9 percent,24 Apr 2018, LONDON (Reuters) - British pharmaceutical company AstraZeneca (L:AZN) said it would subscribe for more shares in  Circassia  (L:CIRCI) by injecting cash into the respiratory drug...
Experts query case for GlaxoSmithKline's new 3-in-1 lung drug,18 Apr 2018," LONDON (Reuters) - Two medical experts have urged caution in using a new three-in-one inhaler for chronic lung disease from GlaxoSmithKline (L:GSK), which the company hopes will..."
Industry fears disruption as EU excludes UK from drug approvals,18 Apr 2018, By Ben Hirschler LONDON (Reuters) - A European decision to exclude Britain from the EU's drug approval system from March 30 2019 - the day after Brexit - has raised alarm...
Sweden shares higher at close of trade; OMX Stockholm 30 up 1.24%,17 Apr 2018,"Investing.com – Sweden equities were higher at the close on Tuesday, as gains in the Technology, Basic Materials and Consumer Services sectors propelled shares higher. At the..."
Sweden shares lower at close of trade; OMX Stockholm 30 down 0.03%,16 Apr 2018,"Investing.com – Sweden equities were lower at the close on Monday, as losses in the Basic Materials, Consumer Services and Industrials sectors propelled shares lower. At the close..."
Sweden shares lower at close of trade; OMX Stockholm 30 down 1.73%,03 Apr 2018,"Investing.com – Sweden equities were lower at the close on Tuesday, as losses in the Technology, Industrials and Financials sectors propelled shares lower. At the close in..."
"Compugen, AstraZeneca unit in cancer drug development deal",02 Apr 2018,JERUSALEM (Reuters) - Israeli drugmaker  Compugen  Ltd (TA:CGEN) (O:CGEN) said it had agreed an exclusive licensing deal with a unit of AstraZeneca (L:AZN) to develop antibody...
Sweden shares higher at close of trade; OMX Stockholm 30 up 0.13%,28 Mar 2018,"Investing.com – Sweden equities were higher at the close on Wednesday, as gains in the Telecoms, Healthcare and Oil & Gas sectors propelled shares higher. At the close in..."
Sweden shares lower at close of trade; OMX Stockholm 30 down 2.19%,22 Mar 2018,"Investing.com – Sweden equities were lower at the close on Thursday, as losses in the Financials, Industrials and Technology sectors propelled shares lower. At the close in..."
Sweden shares lower at close of trade; OMX Stockholm 30 down 1.66%,19 Mar 2018,"Investing.com – Sweden equities were lower at the close on Monday, as losses in the Financials, Basic Materials and Consumer Services sectors propelled shares lower. At the close..."
Sweden shares lower at close of trade; OMX Stockholm 30 down 1.18%,16 Mar 2018,"Investing.com – Sweden equities were lower at the close on Friday, as losses in the Financials, Consumer Services and Consumer Goods sectors propelled shares lower. At the close..."
Sweden shares higher at close of trade; OMX Stockholm 30 up 0.45%,14 Mar 2018,"Investing.com – Sweden equities were higher at the close on Wednesday, as gains in the Basic Materials, Telecoms and Financials sectors propelled shares higher. At the close in..."
AstraZeneca sees pivotal lung cancer trial results later in 2018,12 Mar 2018," LONDON (Reuters) - AstraZeneca (L:AZN) now expects a key lung cancer study of two immunotherapy drugs to produce overall survival results in the second half of 2018, rather than..."
Sweden shares higher at close of trade; OMX Stockholm 30 up 0.26%,09 Mar 2018,"Investing.com – Sweden equities were higher at the close on Friday, as gains in the Oil & Gas, Industrials and Technology sectors propelled shares higher. At the close in..."
Sweden shares higher at close of trade; OMX Stockholm 30 up 0.78%,06 Mar 2018,"Investing.com – Sweden equities were higher at the close on Tuesday, as gains in the Oil & Gas, Basic Materials and Telecoms sectors propelled shares higher. At the close in..."
"Big pharma, big data - why drugmakers want your health records",01 Mar 2018, By Ben Hirschler LONDON (Reuters) - Drugmakers are racing to scoop up patient health records and strike deals with technology companies as big data analytics start to unlock a...
U.S. health officials reverse stance on AstraZeneca's flu vaccine,21 Feb 2018, (Reuters) - AstraZeneca Plc (L:AZN) (N:AZN) said on Wednesday an advisory committee of the U.S. Centers for Disease Control and Prevention recommended the use of its FluMist...
AstraZeneca's immunotherapy drug wins key lung cancer approval,19 Feb 2018," By Ben Hirschler LONDON (Reuters) - AstraZeneca's (L:AZN) immunotherapy drug Imfinzi has won crucial approval from U.S. regulators for use in lung cancer, opening up a..."
U.S. FDA approves AstraZeneca's immunotherapy for lung cancer,16 Feb 2018," (Reuters) - The U.S. Food and Drug Administration on Friday granted approval for expanded use of AstraZeneca Plc's (L:AZN), (N:AZN) immunotherapy drug, Imfinzi, to treat..."
"Cyclicals, South Africa-exposed stocks help steady FTSE 100",15 Feb 2018," By Kit Rees LONDON (Reuters) - A rally in miners and stocks exposed to South Africa helped Britain's top share index close higher for a second day in a row on Thursday,..."
Sweden shares higher at close of trade; OMX Stockholm 30 up 0.69%,15 Feb 2018,"Investing.com – Sweden equities were higher at the close on Thursday, as gains in the Consumer Goods, Basic Materials and Industrials sectors propelled shares higher. At the close..."
Commodities help FTSE 100 outperform European stocks,13 Feb 2018," By Kit Rees and Helen Reid LONDON (Reuters) - A recovery among commodities stocks helped Britain's top share index outperform European peers on Tuesday, though it came under..."
Sweden shares lower at close of trade; OMX Stockholm 30 down 1.29%,09 Feb 2018,"Investing.com – Sweden equities were lower at the close on Friday, as losses in the Oil & Gas, Healthcare and Telecoms sectors propelled shares lower. At the close in Stockholm,..."
Sweden shares lower at close of trade; OMX Stockholm 30 down 2.02%,08 Feb 2018,"Investing.com – Sweden equities were lower at the close on Thursday, as losses in the Telecoms, Industrials and Oil & Gas sectors propelled shares lower. At the close in..."
FTSE slides after BOE meeting as pound pops higher,08 Feb 2018," By Danilo Masoni and Kit Rees MILAN/LONDON (Reuters) - The UK's top share index fell on Thursday after the Bank of England raised the prospect of higher interest rates,..."
GlaxoSmithKline sees light at end of Advair tunnel,07 Feb 2018, By Ben Hirschler LONDON (Reuters) - GlaxoSmithKline (L:GSK) sees growth strengthening over the next few years as the drugmaker weathers increased competition in its core...
U.K. shares lower at close of trade; Investing.com United Kingdom 100 down 1.46%,05 Feb 2018,"Investing.com – U.K. equities were lower at the close on Monday, as losses in the Mobile Telecommunications, Pharmaceuticals & Biotech and Tobacco sectors propelled shares..."
"Results, risk aversion drag FTSE 100 to worst week in nine months",02 Feb 2018, By Kit Rees LONDON (Reuters) - Britain's top share index sealed its worst week in nine months on Friday after results from BT were met with disappointment and commodities...
U.K. shares lower at close of trade; Investing.com United Kingdom 100 down 0.62%,02 Feb 2018,"Investing.com – U.K. equities were lower at the close on Friday, as losses in the Industrial Metals & Mining, Mining and Fixed Line Telecommunications sectors propelled shares..."
Sweden shares lower at close of trade; OMX Stockholm 30 down 1.06%,02 Feb 2018,"Investing.com – Sweden equities were lower at the close on Friday, as losses in the Oil & Gas, Basic Materials and Industrials sectors propelled shares lower. At the close in..."
"AstraZeneca flags return to drug growth in 2018, China shines",02 Feb 2018," By Ben Hirschler LONDON (Reuters) - AstraZeneca (L:AZN) expects a return to drug sales growth in 2018 as new medicines win market share and the group puts patent losses behind it,..."
AstraZeneca links with Alibaba and Tencent in China push,02 Feb 2018, LONDON (Reuters) - AstraZeneca (L:AZN) has clinched two new deals with Chinese tech giants  Alibaba  (N:BABA) and Tencent (HK:0700) as the British drugmaker steps up its drive to...
Deutsche Bank drags European shares towards worst weekly loss since August,02 Feb 2018, By Danilo Masoni MILAN (Reuters) - European shares were set for their biggest weekly loss in six months on Friday as a slump in  Deutsche Bank  (DE:DBKGn) on a disappointing...
AstraZeneca is sued by Array BioPharma over cancer drug royalties,01 Feb 2018," NEW YORK (Reuters) -  Array BioPharma Inc  (O:ARRY) on Thursday sued AstraZeneca AB (L:AZN), accusing the pharmaceutical company of refusing to pay required royalties for a cancer..."
UK stocks end two days of currency-driven declines,26 Jan 2018, By Tom Pfeiffer  LONDON (Reuters) - British shares (FTSE) rose across the board on Friday as buyers returned to the market following two days of declines driven by a strengthening...
AstraZeneca's inhaler for lung disease shows improved function in late stage trial,26 Jan 2018, (Reuters) - AstraZeneca (L:AZN) said its inhaler for chronic obstructive pulmonary disease (COPD) showed improved lung function in a late stage trial that could challenge...
"At AstraZeneca, fewer drug projects bring big productivity jump",19 Jan 2018," By Ben Hirschler LONDON (Reuters) - A focus on fewer diseases, together with cuts in laboratories and staff, has delivered a more than fourfold increase in research productivity..."
Sweden shares lower at close of trade; OMX Stockholm 30 down 0.18%,10 Jan 2018,"Investing.com – Sweden equities were lower at the close on Wednesday, as losses in the Telecoms, Technology and Healthcare sectors propelled shares lower. At the close in..."
Sweden shares higher at close of trade; OMX Stockholm 30 up 1.01%,04 Jan 2018,"Investing.com – Sweden equities were higher at the close on Thursday, as gains in the Financials, Industrials and Oil & Gas sectors propelled shares higher. At the close in..."
New drug approvals hit 21-year high in 2017,02 Jan 2018," By Ben Hirschler LONDON (Reuters) - U.S. drug approvals hit a 21-year high in 2017, with 46 novel medicines winning a green light -- more than double the previous year -- while..."
U.K. shares higher at close of trade; Investing.com United Kingdom 100 up 0.64%,29 Dec 2017,"Investing.com – U.K. equities were higher at the close on Friday, as gains in the Fixed Line Telecommunications, Mining and Electrical sectors propelled shares higher. At the..."
Sweden shares lower at close of trade; OMX Stockholm 30 down 0.73%,29 Dec 2017,"Investing.com – Sweden equities were lower at the close on Friday, as losses in the Oil & Gas, Industrials and Technology sectors propelled shares lower. At the close in..."
